Indicator,Group,State,Time Period Label,Percentage,Confidence Interval
Symptoms of Depressive Disorder,By State,Texas,"July 2 - July 7, 2020",30.5,27.8 - 33.2
Symptoms of Depressive Disorder,By State,Utah,"July 2 - July 7, 2020",25.0,21.5 - 28.9
Symptoms of Depressive Disorder,By State,Vermont,"July 2 - July 7, 2020",22.2,16.0 - 29.4
Symptoms of Depressive Disorder,By State,Virginia,"July 2 - July 7, 2020",29.5,25.2 - 34.1
Symptoms of Depressive Disorder,By State,Washington,"July 2 - July 7, 2020",27.8,24.5 - 31.3
Symptoms of Depressive Disorder,By State,West Virginia,"July 2 - July 7, 2020",24.2,19.3 - 29.7
Symptoms of Depressive Disorder,By State,Wisconsin,"July 2 - July 7, 2020",24.6,20.7 - 28.8
Symptoms of Depressive Disorder,By State,Wyoming,"July 2 - July 7, 2020",26.5,20.7 - 32.9
Symptoms of Anxiety Disorder,National Estimate,United States,"July 2 - July 7, 2020",34.0,33.2 - 34.7
Symptoms of Anxiety Disorder,By State,Alabama,"July 2 - July 7, 2020",34.4,30.0 - 39.0
Symptoms of Anxiety Disorder,By State,Alaska,"July 2 - July 7, 2020",27.3,22.2 - 32.8
Symptoms of Anxiety Disorder,By State,Arizona,"July 2 - July 7, 2020",36.6,32.8 - 40.5
Symptoms of Anxiety Disorder,By State,Arkansas,"July 2 - July 7, 2020",34.7,30.3 - 39.3
Symptoms of Anxiety Disorder,By State,California,"July 2 - July 7, 2020",32.9,30.2 - 35.7
Symptoms of Anxiety Disorder,By State,Colorado,"July 2 - July 7, 2020",35.4,31.2 - 39.8
Symptoms of Anxiety Disorder,By State,Connecticut,"July 2 - July 7, 2020",33.6,29.0 - 38.4
Symptoms of Anxiety Disorder,By State,Delaware,"July 2 - July 7, 2020",27.3,23.5 - 31.4
Symptoms of Anxiety Disorder,By State,District of Columbia,"July 2 - July 7, 2020",35.2,28.3 - 42.6
Symptoms of Anxiety Disorder,By State,Florida,"July 2 - July 7, 2020",37.8,34.2 - 41.4
Symptoms of Anxiety Disorder,By State,Georgia,"July 2 - July 7, 2020",32.5,28.6 - 36.6
Symptoms of Anxiety Disorder,By State,Hawaii,"July 2 - July 7, 2020",34.2,29.4 - 39.1
Symptoms of Anxiety Disorder,By State,Idaho,"July 2 - July 7, 2020",32.7,27.8 - 37.9
Symptoms of Anxiety Disorder,By State,Illinois,"July 2 - July 7, 2020",35.1,31.2 - 39.2
Symptoms of Anxiety Disorder,By State,Indiana,"July 2 - July 7, 2020",34.8,31.3 - 38.4
Symptoms of Anxiety Disorder,By State,Iowa,"July 2 - July 7, 2020",29.6,25.4 - 34.0
Symptoms of Anxiety Disorder,By State,Kansas,"July 2 - July 7, 2020",32.3,28.2 - 36.6
Symptoms of Anxiety Disorder,By State,Kentucky,"July 2 - July 7, 2020",36.3,31.2 - 41.6
Symptoms of Anxiety Disorder,By State,Louisiana,"July 2 - July 7, 2020",38.6,34.2 - 43.1
Symptoms of Anxiety Disorder,By State,Maine,"July 2 - July 7, 2020",32.8,29.0 - 36.7
Symptoms of Anxiety Disorder,By State,Maryland,"July 2 - July 7, 2020",32.2,27.9 - 36.7
Symptoms of Anxiety Disorder,By State,Massachusetts,"July 2 - July 7, 2020",30.1,26.3 - 34.2
Symptoms of Anxiety Disorder,By State,Michigan,"July 2 - July 7, 2020",31.1,27.1 - 35.3
Symptoms of Anxiety Disorder,By State,Minnesota,"July 2 - July 7, 2020",27.6,23.8 - 31.7
Symptoms of Anxiety Disorder,By State,Mississippi,"July 2 - July 7, 2020",40.2,35.2 - 45.3
Symptoms of Anxiety Disorder,By State,Missouri,"July 2 - July 7, 2020",35.3,30.4 - 40.5
Symptoms of Anxiety Disorder,By State,Montana,"July 2 - July 7, 2020",31.7,27.8 - 35.7
Symptoms of Anxiety Disorder,By State,Nebraska,"July 2 - July 7, 2020",25.7,21.5 - 30.3
Symptoms of Anxiety Disorder,By State,Nevada,"July 2 - July 7, 2020",40.6,35.6 - 45.8
Symptoms of Anxiety Disorder,By State,New Hampshire,"July 2 - July 7, 2020",32.5,27.3 - 38.0
Symptoms of Anxiety Disorder,By State,New Jersey,"July 2 - July 7, 2020",33.6,29.6 - 37.8
Symptoms of Anxiety Disorder,By State,New Mexico,"July 2 - July 7, 2020",38.1,33.4 - 43.0
Symptoms of Anxiety Disorder,By State,New York,"July 2 - July 7, 2020",34.7,30.4 - 39.2
Symptoms of Anxiety Disorder,By State,North Carolina,"July 2 - July 7, 2020",33.4,28.9 - 38.1
Symptoms of Anxiety Disorder,By State,North Dakota,"July 2 - July 7, 2020",29.1,23.7 - 35.1
Symptoms of Anxiety Disorder,By State,Ohio,"July 2 - July 7, 2020",31.9,27.1 - 37.1
Symptoms of Anxiety Disorder,By State,Oklahoma,"July 2 - July 7, 2020",39.4,34.8 - 44.2
Symptoms of Anxiety Disorder,By State,Oregon,"July 2 - July 7, 2020",35.4,31.8 - 39.2
Symptoms of Anxiety Disorder,By State,Pennsylvania,"July 2 - July 7, 2020",33.2,28.7 - 37.9
Symptoms of Anxiety Disorder,By State,Rhode Island,"July 2 - July 7, 2020",31.4,25.8 - 37.5
Symptoms of Anxiety Disorder,By State,South Carolina,"July 2 - July 7, 2020",31.4,26.9 - 36.1
Symptoms of Anxiety Disorder,By State,South Dakota,"July 2 - July 7, 2020",31.3,24.3 - 38.9
Symptoms of Anxiety Disorder,By State,Tennessee,"July 2 - July 7, 2020",34.6,30.5 - 39.0
Symptoms of Anxiety Disorder,By State,Texas,"July 2 - July 7, 2020",36.1,33.5 - 38.7
Symptoms of Anxiety Disorder,By State,Utah,"July 2 - July 7, 2020",29.1,25.2 - 33.1
Symptoms of Anxiety Disorder,By State,Vermont,"July 2 - July 7, 2020",29.2,23.2 - 35.7
Symptoms of Anxiety Disorder,By State,Virginia,"July 2 - July 7, 2020",29.5,25.4 - 33.9
Symptoms of Anxiety Disorder,By State,Washington,"July 2 - July 7, 2020",37.5,34.7 - 40.5
Symptoms of Anxiety Disorder,By State,West Virginia,"July 2 - July 7, 2020",31.9,26.7 - 37.4
Symptoms of Anxiety Disorder,By State,Wisconsin,"July 2 - July 7, 2020",30.7,25.9 - 35.8
Symptoms of Anxiety Disorder,By State,Wyoming,"July 2 - July 7, 2020",31.5,26.6 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,"July 2 - July 7, 2020",39.0,38.3 - 39.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,"July 2 - July 7, 2020",39.6,36.0 - 43.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,"July 2 - July 7, 2020",32.9,28.4 - 37.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,"July 2 - July 7, 2020",42.4,38.0 - 46.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,"July 2 - July 7, 2020",41.2,36.5 - 45.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,"July 2 - July 7, 2020",39.4,36.8 - 42.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,"July 2 - July 7, 2020",42.4,38.1 - 46.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,"July 2 - July 7, 2020",39.0,34.3 - 43.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,"July 2 - July 7, 2020",31.5,27.1 - 36.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,"July 2 - July 7, 2020",37.8,30.8 - 45.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,"July 2 - July 7, 2020",42.0,38.6 - 45.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,"July 2 - July 7, 2020",38.0,33.4 - 42.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,"July 2 - July 7, 2020",37.1,32.3 - 42.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,"July 2 - July 7, 2020",37.7,32.8 - 42.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,"July 2 - July 7, 2020",39.4,35.2 - 43.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,"July 2 - July 7, 2020",39.0,35.1 - 43.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,"July 2 - July 7, 2020",31.6,27.4 - 36.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,"July 2 - July 7, 2020",35.8,31.5 - 40.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,"July 2 - July 7, 2020",39.9,34.5 - 45.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,"July 2 - July 7, 2020",44.8,40.2 - 49.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,"July 2 - July 7, 2020",36.3,32.3 - 40.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,"July 2 - July 7, 2020",36.1,31.8 - 40.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,"July 2 - July 7, 2020",33.4,29.4 - 37.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,"July 2 - July 7, 2020",36.7,32.2 - 41.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,"July 2 - July 7, 2020",31.1,27.2 - 35.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,"July 2 - July 7, 2020",43.7,39.3 - 48.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,"July 2 - July 7, 2020",40.6,35.6 - 45.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,"July 2 - July 7, 2020",34.3,30.4 - 38.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,"July 2 - July 7, 2020",30.9,26.1 - 35.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,"July 2 - July 7, 2020",44.8,39.9 - 49.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,"July 2 - July 7, 2020",35.7,30.6 - 41.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,"July 2 - July 7, 2020",38.2,34.1 - 42.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,"July 2 - July 7, 2020",43.3,39.0 - 47.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,"July 2 - July 7, 2020",39.7,35.4 - 44.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,"July 2 - July 7, 2020",38.4,34.1 - 42.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,"July 2 - July 7, 2020",32.6,26.7 - 39.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,"July 2 - July 7, 2020",34.9,29.9 - 40.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,"July 2 - July 7, 2020",42.9,38.1 - 47.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,"July 2 - July 7, 2020",39.7,35.8 - 43.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,"July 2 - July 7, 2020",37.2,32.3 - 42.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,"July 2 - July 7, 2020",34.8,29.0 - 40.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,"July 2 - July 7, 2020",38.6,33.7 - 43.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,"July 2 - July 7, 2020",35.2,28.5 - 42.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,"July 2 - July 7, 2020",41.9,37.7 - 46.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,"July 2 - July 7, 2020",41.6,38.8 - 44.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,"July 2 - July 7, 2020",34.7,30.2 - 39.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,"July 2 - July 7, 2020",32.2,25.4 - 39.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,"July 2 - July 7, 2020",38.5,34.1 - 43.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,"July 2 - July 7, 2020",42.0,38.9 - 45.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,"July 2 - July 7, 2020",34.6,29.1 - 40.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,"July 2 - July 7, 2020",34.1,29.4 - 39.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,"July 2 - July 7, 2020",36.0,30.9 - 41.4
Symptoms of Depressive Disorder,National Estimate,United States,"July 9 - July 14, 2020",28.1,27.3 - 28.9
Symptoms of Depressive Disorder,By State,Alabama,"July 9 - July 14, 2020",30.4,26.0 - 35.1
Symptoms of Depressive Disorder,By State,Alaska,"July 9 - July 14, 2020",27.4,22.6 - 32.5
Symptoms of Depressive Disorder,By State,Arizona,"July 9 - July 14, 2020",33.9,29.5 - 38.6
Symptoms of Depressive Disorder,By State,Arkansas,"July 9 - July 14, 2020",34.8,30.7 - 39.1
Symptoms of Depressive Disorder,By State,California,"July 9 - July 14, 2020",31.8,29.0 - 34.7
Symptoms of Depressive Disorder,By State,Colorado,"July 9 - July 14, 2020",26.1,21.3 - 31.5
Symptoms of Depressive Disorder,By State,Connecticut,"July 9 - July 14, 2020",26.7,22.6 - 31.1
Symptoms of Depressive Disorder,By State,Delaware,"July 9 - July 14, 2020",23.3,19.7 - 27.2
Symptoms of Depressive Disorder,By State,District of Columbia,"July 9 - July 14, 2020",20.8,14.6 - 28.1
Symptoms of Depressive Disorder,By State,Florida,"July 9 - July 14, 2020",31.7,27.8 - 35.9
Symptoms of Depressive Disorder,By State,Georgia,"July 9 - July 14, 2020",29.0,24.5 - 33.8
Symptoms of Depressive Disorder,By State,Hawaii,"July 9 - July 14, 2020",28.3,23.7 - 33.2
Symptoms of Depressive Disorder,By State,Idaho,"July 9 - July 14, 2020",27.5,24.2 - 31.0
Symptoms of Depressive Disorder,By State,Illinois,"July 9 - July 14, 2020",23.7,19.5 - 28.3
Symptoms of Depressive Disorder,By State,Indiana,"July 9 - July 14, 2020",29.4,25.8 - 33.3
Symptoms of Depressive Disorder,By State,Iowa,"July 9 - July 14, 2020",17.7,14.2 - 21.8
Symptoms of Depressive Disorder,By State,Kansas,"July 9 - July 14, 2020",24.8,20.5 - 29.5
Symptoms of Depressive Disorder,By State,Kentucky,"July 9 - July 14, 2020",30.7,26.3 - 35.3
Symptoms of Depressive Disorder,By State,Louisiana,"July 9 - July 14, 2020",31.1,26.6 - 35.8
Symptoms of Depressive Disorder,By State,Maine,"July 9 - July 14, 2020",22.4,17.7 - 27.8
Symptoms of Depressive Disorder,By State,Maryland,"July 9 - July 14, 2020",22.2,18.7 - 25.9
Symptoms of Depressive Disorder,By State,Massachusetts,"July 9 - July 14, 2020",23.8,20.0 - 27.9
Symptoms of Depressive Disorder,By State,Michigan,"July 9 - July 14, 2020",23.0,20.0 - 26.2
Symptoms of Depressive Disorder,By State,Minnesota,"July 9 - July 14, 2020",22.0,18.2 - 26.2
Symptoms of Depressive Disorder,By State,Mississippi,"July 9 - July 14, 2020",36.1,30.5 - 42.1
Symptoms of Depressive Disorder,By State,Missouri,"July 9 - July 14, 2020",25.8,21.8 - 30.2
Symptoms of Depressive Disorder,By State,Montana,"July 9 - July 14, 2020",28.5,24.9 - 32.3
Symptoms of Depressive Disorder,By State,Nebraska,"July 9 - July 14, 2020",26.4,22.6 - 30.4
Symptoms of Depressive Disorder,By State,Nevada,"July 9 - July 14, 2020",33.3,28.9 - 37.9
Symptoms of Depressive Disorder,By State,New Hampshire,"July 9 - July 14, 2020",28.7,23.0 - 35.1
Symptoms of Depressive Disorder,By State,New Jersey,"July 9 - July 14, 2020",28.7,25.5 - 32.0
Symptoms of Depressive Disorder,By State,New Mexico,"July 9 - July 14, 2020",30.1,25.6 - 34.9
Symptoms of Depressive Disorder,By State,New York,"July 9 - July 14, 2020",25.0,21.1 - 29.1
Symptoms of Depressive Disorder,By State,North Carolina,"July 9 - July 14, 2020",26.4,21.3 - 32.1
Symptoms of Depressive Disorder,By State,North Dakota,"July 9 - July 14, 2020",25.2,19.8 - 31.1
Symptoms of Depressive Disorder,By State,Ohio,"July 9 - July 14, 2020",21.2,17.8 - 25.0
Symptoms of Depressive Disorder,By State,Oklahoma,"July 9 - July 14, 2020",30.8,26.9 - 35.0
Symptoms of Depressive Disorder,By State,Oregon,"July 9 - July 14, 2020",31.7,27.9 - 35.5
Symptoms of Depressive Disorder,By State,Pennsylvania,"July 9 - July 14, 2020",27.5,23.3 - 32.1
Symptoms of Depressive Disorder,By State,Rhode Island,"July 9 - July 14, 2020",31.1,25.3 - 37.4
Symptoms of Depressive Disorder,By State,South Carolina,"July 9 - July 14, 2020",25.3,20.5 - 30.7
Symptoms of Depressive Disorder,By State,South Dakota,"July 9 - July 14, 2020",24.1,18.9 - 30.1
Symptoms of Depressive Disorder,By State,Tennessee,"July 9 - July 14, 2020",31.4,26.9 - 36.1
Symptoms of Depressive Disorder,By State,Texas,"July 9 - July 14, 2020",32.2,29.0 - 35.5
Symptoms of Depressive Disorder,By State,Utah,"July 9 - July 14, 2020",24.2,20.8 - 27.9
Symptoms of Depressive Disorder,By State,Vermont,"July 9 - July 14, 2020",20.7,15.2 - 27.1
Symptoms of Depressive Disorder,By State,Virginia,"July 9 - July 14, 2020",24.0,19.9 - 28.5
Symptoms of Depressive Disorder,By State,Washington,"July 9 - July 14, 2020",27.2,23.7 - 30.9
Symptoms of Depressive Disorder,By State,West Virginia,"July 9 - July 14, 2020",29.4,25.4 - 33.5
Symptoms of Depressive Disorder,By State,Wisconsin,"July 9 - July 14, 2020",24.6,20.5 - 29.0
Symptoms of Depressive Disorder,By State,Wyoming,"July 9 - July 14, 2020",21.7,17.3 - 26.6
Symptoms of Anxiety Disorder,National Estimate,United States,"July 9 - July 14, 2020",35.6,34.7 - 36.5
Symptoms of Anxiety Disorder,By State,Alabama,"July 9 - July 14, 2020",34.9,30.4 - 39.6
Symptoms of Anxiety Disorder,By State,Alaska,"July 9 - July 14, 2020",35.1,30.1 - 40.3
Symptoms of Anxiety Disorder,By State,Arizona,"July 9 - July 14, 2020",39.9,35.3 - 44.6
Symptoms of Anxiety Disorder,By State,Arkansas,"July 9 - July 14, 2020",40.0,35.0 - 45.2
Symptoms of Anxiety Disorder,By State,California,"July 9 - July 14, 2020",39.1,35.6 - 42.7
Symptoms of Anxiety Disorder,By State,Colorado,"July 9 - July 14, 2020",35.2,30.3 - 40.3
Symptoms of Anxiety Disorder,By State,Connecticut,"July 9 - July 14, 2020",31.0,26.9 - 35.3
Symptoms of Anxiety Disorder,By State,Delaware,"July 9 - July 14, 2020",31.0,26.9 - 35.3
Symptoms of Anxiety Disorder,By State,District of Columbia,"July 9 - July 14, 2020",23.8,17.1 - 31.6
Symptoms of Anxiety Disorder,By State,Florida,"July 9 - July 14, 2020",39.0,35.0 - 43.2
Symptoms of Anxiety Disorder,By State,Georgia,"July 9 - July 14, 2020",37.1,32.1 - 42.4
Symptoms of Anxiety Disorder,By State,Hawaii,"July 9 - July 14, 2020",31.4,26.6 - 36.5
Symptoms of Anxiety Disorder,By State,Idaho,"July 9 - July 14, 2020",32.4,28.6 - 36.4
Symptoms of Anxiety Disorder,By State,Illinois,"July 9 - July 14, 2020",28.9,25.1 - 32.9
Symptoms of Anxiety Disorder,By State,Indiana,"July 9 - July 14, 2020",36.8,33.1 - 40.6
Symptoms of Anxiety Disorder,By State,Iowa,"July 9 - July 14, 2020",25.2,21.4 - 29.2
Symptoms of Anxiety Disorder,By State,Kansas,"July 9 - July 14, 2020",28.8,25.0 - 32.9
Symptoms of Anxiety Disorder,By State,Kentucky,"July 9 - July 14, 2020",37.8,33.5 - 42.1
Symptoms of Anxiety Disorder,By State,Louisiana,"July 9 - July 14, 2020",40.6,35.5 - 45.8
Symptoms of Anxiety Disorder,By State,Maine,"July 9 - July 14, 2020",26.9,22.2 - 32.0
Symptoms of Anxiety Disorder,By State,Maryland,"July 9 - July 14, 2020",29.9,26.7 - 33.3
Symptoms of Anxiety Disorder,By State,Massachusetts,"July 9 - July 14, 2020",34.2,29.6 - 39.0
Symptoms of Anxiety Disorder,By State,Michigan,"July 9 - July 14, 2020",31.7,27.6 - 36.1
Symptoms of Anxiety Disorder,By State,Minnesota,"July 9 - July 14, 2020",27.5,23.4 - 31.8
Symptoms of Anxiety Disorder,By State,Mississippi,"July 9 - July 14, 2020",38.0,32.2 - 44.1
Symptoms of Anxiety Disorder,By State,Missouri,"July 9 - July 14, 2020",35.3,30.9 - 39.9
Symptoms of Anxiety Disorder,By State,Montana,"July 9 - July 14, 2020",35.6,31.1 - 40.2
Symptoms of Anxiety Disorder,By State,Nebraska,"July 9 - July 14, 2020",31.3,26.7 - 36.3
Symptoms of Anxiety Disorder,By State,Nevada,"July 9 - July 14, 2020",42.8,37.8 - 47.8
Symptoms of Anxiety Disorder,By State,New Hampshire,"July 9 - July 14, 2020",28.9,24.0 - 34.1
Symptoms of Anxiety Disorder,By State,New Jersey,"July 9 - July 14, 2020",37.1,33.2 - 41.1
Symptoms of Anxiety Disorder,By State,New Mexico,"July 9 - July 14, 2020",38.6,33.8 - 43.6
Symptoms of Anxiety Disorder,By State,New York,"July 9 - July 14, 2020",34.2,29.2 - 39.6
Symptoms of Anxiety Disorder,By State,North Carolina,"July 9 - July 14, 2020",34.0,29.2 - 39.1
Symptoms of Anxiety Disorder,By State,North Dakota,"July 9 - July 14, 2020",30.5,24.6 - 36.9
Symptoms of Anxiety Disorder,By State,Ohio,"July 9 - July 14, 2020",31.7,27.7 - 35.9
Symptoms of Anxiety Disorder,By State,Oklahoma,"July 9 - July 14, 2020",40.1,35.8 - 44.4
Symptoms of Anxiety Disorder,By State,Oregon,"July 9 - July 14, 2020",38.6,34.3 - 43.0
Symptoms of Anxiety Disorder,By State,Pennsylvania,"July 9 - July 14, 2020",34.2,30.0 - 38.6
Symptoms of Anxiety Disorder,By State,Rhode Island,"July 9 - July 14, 2020",36.5,30.3 - 43.1
Symptoms of Anxiety Disorder,By State,South Carolina,"July 9 - July 14, 2020",30.7,24.5 - 37.4
Symptoms of Anxiety Disorder,By State,South Dakota,"July 9 - July 14, 2020",32.6,26.6 - 39.0
Symptoms of Anxiety Disorder,By State,Tennessee,"July 9 - July 14, 2020",38.2,33.0 - 43.5
Symptoms of Anxiety Disorder,By State,Texas,"July 9 - July 14, 2020",40.6,36.4 - 44.9
Symptoms of Anxiety Disorder,By State,Utah,"July 9 - July 14, 2020",29.5,26.1 - 33.0
Symptoms of Anxiety Disorder,By State,Vermont,"July 9 - July 14, 2020",33.4,26.9 - 40.3
Symptoms of Anxiety Disorder,By State,Virginia,"July 9 - July 14, 2020",32.6,28.8 - 36.7
Symptoms of Anxiety Disorder,By State,Washington,"July 9 - July 14, 2020",35.7,32.0 - 39.6
Symptoms of Anxiety Disorder,By State,West Virginia,"July 9 - July 14, 2020",36.1,30.7 - 41.7
Symptoms of Anxiety Disorder,By State,Wisconsin,"July 9 - July 14, 2020",31.1,26.8 - 35.7
Symptoms of Anxiety Disorder,By State,Wyoming,"July 9 - July 14, 2020",29.4,25.1 - 34.0
Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,"July 9 - July 14, 2020",40.3,39.4 - 41.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,"July 9 - July 14, 2020",40.1,35.3 - 45.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,"July 9 - July 14, 2020",39.6,34.1 - 45.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,"July 9 - July 14, 2020",44.2,39.6 - 48.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,"July 9 - July 14, 2020",45.1,40.2 - 50.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,"July 9 - July 14, 2020",44.5,40.9 - 48.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,"July 9 - July 14, 2020",39.2,34.0 - 44.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,"July 9 - July 14, 2020",35.7,31.6 - 40.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,"July 9 - July 14, 2020",34.4,30.0 - 39.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,"July 9 - July 14, 2020",28.0,20.9 - 36.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,"July 9 - July 14, 2020",43.6,40.0 - 47.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,"July 9 - July 14, 2020",43.6,38.1 - 49.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,"July 9 - July 14, 2020",36.7,31.5 - 42.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,"July 9 - July 14, 2020",37.3,33.6 - 41.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,"July 9 - July 14, 2020",34.0,29.3 - 38.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,"July 9 - July 14, 2020",40.7,36.9 - 44.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,"July 9 - July 14, 2020",28.9,25.0 - 33.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,"July 9 - July 14, 2020",35.2,30.0 - 40.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,"July 9 - July 14, 2020",42.2,38.0 - 46.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,"July 9 - July 14, 2020",45.4,40.7 - 50.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,"July 9 - July 14, 2020",33.0,27.9 - 38.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,"July 9 - July 14, 2020",33.6,30.2 - 37.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,"July 9 - July 14, 2020",38.2,33.5 - 43.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,"July 9 - July 14, 2020",35.6,31.8 - 39.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,"July 9 - July 14, 2020",31.5,27.5 - 35.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,"July 9 - July 14, 2020",46.5,40.7 - 52.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,"July 9 - July 14, 2020",38.7,34.2 - 43.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,"July 9 - July 14, 2020",40.2,35.5 - 45.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,"July 9 - July 14, 2020",34.1,29.6 - 38.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,"July 9 - July 14, 2020",46.4,41.3 - 51.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,"July 9 - July 14, 2020",35.1,29.9 - 40.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,"July 9 - July 14, 2020",42.0,38.3 - 45.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,"July 9 - July 14, 2020",41.7,36.6 - 47.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,"July 9 - July 14, 2020",38.3,33.4 - 43.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,"July 9 - July 14, 2020",38.3,33.2 - 43.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,"July 9 - July 14, 2020",33.3,27.5 - 39.5
